,Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5,zeros,zeros+1
14805,BDCQ.SEE1037A,2014,16860.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Whanganui District,Actual,,,0,0
14806,BDCQ.SEE1037A,2014,17146.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Whanganui District,Actual,,,0,0
14807,BDCQ.SEE1037A,2015,16960.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Whanganui District,Actual,,,0,0
14808,BDCQ.SEE1037A,2015,17044.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Whanganui District,Actual,,,0,0
14809,BDCQ.SEE1037A,2015,16918.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Whanganui District,Actual,,,0,0
14810,BDCQ.SEE1037A,2015,17230.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Whanganui District,Actual,,,0,0
14811,BDCQ.SEE1037A,2016,17190.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Whanganui District,Actual,,,0,0
14812,BDCQ.SEE1037A,2016,17208.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Whanganui District,Actual,,,0,0
14813,BDCQ.SEE1037A,2016,17082.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Whanganui District,Actual,,,0,0
14814,BDCQ.SEE1037A,2016,17373.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Whanganui District,Actual,,,0,0
14815,BDCQ.SEE1037A,2017,17355.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Whanganui District,Actual,,,0,0
14816,BDCQ.SEE1037A,2017,17680.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Whanganui District,Actual,,,0,0
14817,BDCQ.SEE1037A,2017,17623.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Whanganui District,Actual,,,0,0
14818,BDCQ.SEE1037A,2017,17898.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Whanganui District,Actual,,,0,0
14819,BDCQ.SEE1037A,2018,18056.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Whanganui District,Actual,,,0,0
14820,BDCQ.SEE1037A,2018,17981.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Whanganui District,Actual,,,0,0
14821,BDCQ.SEE1037A,2018,17902.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Whanganui District,Actual,,,0,0
14822,BDCQ.SEE1037A,2018,18084.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Whanganui District,Actual,,,0,0
